
============================================================
=== 实验测试时间: 2026-03-11 17:01:34 ===
============================================================
当前使用的计算设备: cuda

====================
模型开始测试 ...
✅ 测试样本 01 | 预测: s01 ---- 真实: s01
✅ 测试样本 33 | 预测: s17 ---- 真实: s17
✅ 测试样本 34 | 预测: s17 ---- 真实: s17
✅ 测试样本 35 | 预测: s18 ---- 真实: s18
✅ 测试样本 36 | 预测: s18 ---- 真实: s18
测试样本❌ 37 | 预测: s16 ---- 真实: s19
✅ 测试样本 38 | 预测: s19 ---- 真实: s19
✅ 测试样本 39 | 预测: s20 ---- 真实: s20
✅ 测试样本 40 | 预测: s20 ---- 真实: s20
✅ 测试样本 41 | 预测: s21 ---- 真实: s21
✅ 测试样本 42 | 预测: s21 ---- 真实: s21
✅ 测试样本 43 | 预测: s22 ---- 真实: s22
✅ 测试样本 44 | 预测: s22 ---- 真实: s22
测试样本❌ 45 | 预测: s38 ---- 真实: s23
✅ 测试样本 46 | 预测: s23 ---- 真实: s23
✅ 测试样本 47 | 预测: s24 ---- 真实: s24
✅ 测试样本 48 | 预测: s24 ---- 真实: s24
✅ 测试样本 49 | 预测: s25 ---- 真实: s25
✅ 测试样本 50 | 预测: s25 ---- 真实: s25
✅ 测试样本 51 | 预测: s26 ---- 真实: s26
✅ 测试样本 52 | 预测: s26 ---- 真实: s26
✅ 测试样本 53 | 预测: s27 ---- 真实: s27
✅ 测试样本 54 | 预测: s27 ---- 真实: s27
✅ 测试样本 55 | 预测: s28 ---- 真实: s28
✅ 测试样本 56 | 预测: s28 ---- 真实: s28
✅ 测试样本 57 | 预测: s29 ---- 真实: s29
✅ 测试样本 58 | 预测: s29 ---- 真实: s29
✅ 测试样本 59 | 预测: s30 ---- 真实: s30
✅ 测试样本 60 | 预测: s30 ---- 真实: s30
✅ 测试样本 61 | 预测: s31 ---- 真实: s31
✅ 测试样本 62 | 预测: s31 ---- 真实: s31
✅ 测试样本 63 | 预测: s32 ---- 真实: s32
✅ 测试样本 64 | 预测: s32 ---- 真实: s32
✅ 测试样本 65 | 预测: s33 ---- 真实: s33
✅ 测试样本 66 | 预测: s33 ---- 真实: s33
✅ 测试样本 67 | 预测: s34 ---- 真实: s34
✅ 测试样本 68 | 预测: s34 ---- 真实: s34
✅ 测试样本 69 | 预测: s35 ---- 真实: s35
✅ 测试样本 70 | 预测: s35 ---- 真实: s35
✅ 测试样本 71 | 预测: s36 ---- 真实: s36
✅ 测试样本 72 | 预测: s36 ---- 真实: s36
✅ 测试样本 73 | 预测: s37 ---- 真实: s37
✅ 测试样本 74 | 预测: s37 ---- 真实: s37
✅ 测试样本 75 | 预测: s38 ---- 真实: s38
✅ 测试样本 76 | 预测: s38 ---- 真实: s38
✅ 测试样本 77 | 预测: s39 ---- 真实: s39
✅ 测试样本 78 | 预测: s39 ---- 真实: s39
✅ 测试样本 79 | 预测: s40 ---- 真实: s40
✅ 测试样本 80 | 预测: s40 ---- 真实: s40
====================
模型准确率：95.00 %  (76/80)
====================

------------------------------------------------------------

==============================
模型开始测试[技术一：基于 余弦相似度 的 1-NN] ...
==============================
✅ 测试样本 01 | 预测: s01 ---- 真实: s01
✅ 测试样本 02 | 预测: s01 ---- 真实: s01
✅ 测试样本 03 | 预测: s02 ---- 真实: s02
✅ 测试样本 04 | 预测: s02 ---- 真实: s02
✅ 测试样本 05 | 预测: s03 ---- 真实: s03
✅ 测试样本 06 | 预测: s03 ---- 真实: s03
✅ 测试样本 07 | 预测: s04 ---- 真实: s04
✅ 测试样本 08 | 预测: s04 ---- 真实: s04
✅ 测试样本 09 | 预测: s05 ---- 真实: s05
测试样本❌ 10 | 预测: s18 ---- 真实: s05 (相似度: 0.8223)
✅ 测试样本 11 | 预测: s06 ---- 真实: s06
✅ 测试样本 12 | 预测: s06 ---- 真实: s06
✅ 测试样本 13 | 预测: s07 ---- 真实: s07
✅ 测试样本 14 | 预测: s07 ---- 真实: s07
✅ 测试样本 15 | 预测: s08 ---- 真实: s08
✅ 测试样本 16 | 预测: s08 ---- 真实: s08
✅ 测试样本 17 | 预测: s09 ---- 真实: s09
✅ 测试样本 18 | 预测: s09 ---- 真实: s09
✅ 测试样本 19 | 预测: s10 ---- 真实: s10
测试样本❌ 20 | 预测: s08 ---- 真实: s10 (相似度: 0.6644)
✅ 测试样本 21 | 预测: s11 ---- 真实: s11
✅ 测试样本 22 | 预测: s11 ---- 真实: s11
✅ 测试样本 23 | 预测: s12 ---- 真实: s12
✅ 测试样本 24 | 预测: s12 ---- 真实: s12
✅ 测试样本 25 | 预测: s13 ---- 真实: s13
✅ 测试样本 26 | 预测: s13 ---- 真实: s13
✅ 测试样本 27 | 预测: s14 ---- 真实: s14
✅ 测试样本 28 | 预测: s14 ---- 真实: s14
✅ 测试样本 29 | 预测: s15 ---- 真实: s15
✅ 测试样本 30 | 预测: s15 ---- 真实: s15
✅ 测试样本 31 | 预测: s16 ---- 真实: s16
✅ 测试样本 32 | 预测: s16 ---- 真实: s16
✅ 测试样本 33 | 预测: s17 ---- 真实: s17
✅ 测试样本 34 | 预测: s17 ---- 真实: s17
✅ 测试样本 35 | 预测: s18 ---- 真实: s18
✅ 测试样本 36 | 预测: s18 ---- 真实: s18
测试样本❌ 37 | 预测: s08 ---- 真实: s19 (相似度: 0.6043)
✅ 测试样本 38 | 预测: s19 ---- 真实: s19
✅ 测试样本 39 | 预测: s20 ---- 真实: s20
✅ 测试样本 40 | 预测: s20 ---- 真实: s20
✅ 测试样本 41 | 预测: s21 ---- 真实: s21
✅ 测试样本 42 | 预测: s21 ---- 真实: s21
✅ 测试样本 43 | 预测: s22 ---- 真实: s22
✅ 测试样本 44 | 预测: s22 ---- 真实: s22
测试样本❌ 45 | 预测: s38 ---- 真实: s23 (相似度: 0.8401)
✅ 测试样本 46 | 预测: s23 ---- 真实: s23
✅ 测试样本 47 | 预测: s24 ---- 真实: s24
✅ 测试样本 48 | 预测: s24 ---- 真实: s24
✅ 测试样本 49 | 预测: s25 ---- 真实: s25
✅ 测试样本 50 | 预测: s25 ---- 真实: s25
✅ 测试样本 51 | 预测: s26 ---- 真实: s26
✅ 测试样本 52 | 预测: s26 ---- 真实: s26
✅ 测试样本 53 | 预测: s27 ---- 真实: s27
✅ 测试样本 54 | 预测: s27 ---- 真实: s27
✅ 测试样本 55 | 预测: s28 ---- 真实: s28
✅ 测试样本 56 | 预测: s28 ---- 真实: s28
✅ 测试样本 57 | 预测: s29 ---- 真实: s29
✅ 测试样本 58 | 预测: s29 ---- 真实: s29
✅ 测试样本 59 | 预测: s30 ---- 真实: s30
✅ 测试样本 60 | 预测: s30 ---- 真实: s30
✅ 测试样本 61 | 预测: s31 ---- 真实: s31
✅ 测试样本 62 | 预测: s31 ---- 真实: s31
✅ 测试样本 63 | 预测: s32 ---- 真实: s32
✅ 测试样本 64 | 预测: s32 ---- 真实: s32
✅ 测试样本 65 | 预测: s33 ---- 真实: s33
✅ 测试样本 66 | 预测: s33 ---- 真实: s33
✅ 测试样本 67 | 预测: s34 ---- 真实: s34
✅ 测试样本 68 | 预测: s34 ---- 真实: s34
✅ 测试样本 69 | 预测: s35 ---- 真实: s35
✅ 测试样本 70 | 预测: s35 ---- 真实: s35
✅ 测试样本 71 | 预测: s36 ---- 真实: s36
✅ 测试样本 72 | 预测: s36 ---- 真实: s36
✅ 测试样本 73 | 预测: s37 ---- 真实: s37
✅ 测试样本 74 | 预测: s37 ---- 真实: s37
✅ 测试样本 75 | 预测: s38 ---- 真实: s38
✅ 测试样本 76 | 预测: s38 ---- 真实: s38
✅ 测试样本 77 | 预测: s39 ---- 真实: s39
✅ 测试样本 78 | 预测: s39 ---- 真实: s39
✅ 测试样本 79 | 预测: s40 ---- 真实: s40
✅ 测试样本 80 | 预测: s40 ---- 真实: s40
==============================
[余弦相似度]模型准确率：95.00 %  (76/80)
==============================

------------------------------------------------------------

========================================
模型开始测试 [进阶技术：PCA降维 + SVM支持向量机] ...
========================================
✅ 测试样本 01 | 预测: s01 ---- 真实: s01
✅ 测试样本 02 | 预测: s01 ---- 真实: s01
✅ 测试样本 03 | 预测: s02 ---- 真实: s02
✅ 测试样本 04 | 预测: s02 ---- 真实: s02
✅ 测试样本 05 | 预测: s03 ---- 真实: s03
✅ 测试样本 06 | 预测: s03 ---- 真实: s03
✅ 测试样本 07 | 预测: s04 ---- 真实: s04
✅ 测试样本 08 | 预测: s04 ---- 真实: s04
✅ 测试样本 09 | 预测: s05 ---- 真实: s05
✅ 测试样本 10 | 预测: s05 ---- 真实: s05
✅ 测试样本 11 | 预测: s06 ---- 真实: s06
✅ 测试样本 12 | 预测: s06 ---- 真实: s06
✅ 测试样本 13 | 预测: s07 ---- 真实: s07
✅ 测试样本 14 | 预测: s07 ---- 真实: s07
✅ 测试样本 15 | 预测: s08 ---- 真实: s08
✅ 测试样本 16 | 预测: s08 ---- 真实: s08
✅ 测试样本 17 | 预测: s09 ---- 真实: s09
✅ 测试样本 18 | 预测: s09 ---- 真实: s09
✅ 测试样本 19 | 预测: s10 ---- 真实: s10
❌ 测试样本 20 | 预测: s08 ---- 真实: s10
✅ 测试样本 21 | 预测: s11 ---- 真实: s11
✅ 测试样本 22 | 预测: s11 ---- 真实: s11
✅ 测试样本 23 | 预测: s12 ---- 真实: s12
✅ 测试样本 24 | 预测: s12 ---- 真实: s12
✅ 测试样本 25 | 预测: s13 ---- 真实: s13
✅ 测试样本 26 | 预测: s13 ---- 真实: s13
✅ 测试样本 27 | 预测: s14 ---- 真实: s14
✅ 测试样本 28 | 预测: s14 ---- 真实: s14
✅ 测试样本 29 | 预测: s15 ---- 真实: s15
✅ 测试样本 30 | 预测: s15 ---- 真实: s15
✅ 测试样本 31 | 预测: s16 ---- 真实: s16
✅ 测试样本 32 | 预测: s16 ---- 真实: s16
✅ 测试样本 33 | 预测: s17 ---- 真实: s17
✅ 测试样本 34 | 预测: s17 ---- 真实: s17
✅ 测试样本 35 | 预测: s18 ---- 真实: s18
✅ 测试样本 36 | 预测: s18 ---- 真实: s18
❌ 测试样本 37 | 预测: s11 ---- 真实: s19
✅ 测试样本 38 | 预测: s19 ---- 真实: s19
✅ 测试样本 39 | 预测: s20 ---- 真实: s20
✅ 测试样本 40 | 预测: s20 ---- 真实: s20
✅ 测试样本 41 | 预测: s21 ---- 真实: s21
✅ 测试样本 42 | 预测: s21 ---- 真实: s21
✅ 测试样本 43 | 预测: s22 ---- 真实: s22
✅ 测试样本 44 | 预测: s22 ---- 真实: s22
✅ 测试样本 45 | 预测: s23 ---- 真实: s23
✅ 测试样本 46 | 预测: s23 ---- 真实: s23
✅ 测试样本 47 | 预测: s24 ---- 真实: s24
✅ 测试样本 48 | 预测: s24 ---- 真实: s24
✅ 测试样本 49 | 预测: s25 ---- 真实: s25
✅ 测试样本 50 | 预测: s25 ---- 真实: s25
✅ 测试样本 51 | 预测: s26 ---- 真实: s26
✅ 测试样本 52 | 预测: s26 ---- 真实: s26
✅ 测试样本 53 | 预测: s27 ---- 真实: s27
✅ 测试样本 54 | 预测: s27 ---- 真实: s27
✅ 测试样本 55 | 预测: s28 ---- 真实: s28
✅ 测试样本 56 | 预测: s28 ---- 真实: s28
✅ 测试样本 57 | 预测: s29 ---- 真实: s29
✅ 测试样本 58 | 预测: s29 ---- 真实: s29
✅ 测试样本 59 | 预测: s30 ---- 真实: s30
✅ 测试样本 60 | 预测: s30 ---- 真实: s30
✅ 测试样本 61 | 预测: s31 ---- 真实: s31
✅ 测试样本 62 | 预测: s31 ---- 真实: s31
✅ 测试样本 63 | 预测: s32 ---- 真实: s32
✅ 测试样本 64 | 预测: s32 ---- 真实: s32
✅ 测试样本 65 | 预测: s33 ---- 真实: s33
✅ 测试样本 66 | 预测: s33 ---- 真实: s33
✅ 测试样本 67 | 预测: s34 ---- 真实: s34
✅ 测试样本 68 | 预测: s34 ---- 真实: s34
✅ 测试样本 69 | 预测: s35 ---- 真实: s35
✅ 测试样本 70 | 预测: s35 ---- 真实: s35
✅ 测试样本 71 | 预测: s36 ---- 真实: s36
✅ 测试样本 72 | 预测: s36 ---- 真实: s36
✅ 测试样本 73 | 预测: s37 ---- 真实: s37
✅ 测试样本 74 | 预测: s37 ---- 真实: s37
✅ 测试样本 75 | 预测: s38 ---- 真实: s38
✅ 测试样本 76 | 预测: s38 ---- 真实: s38
✅ 测试样本 77 | 预测: s39 ---- 真实: s39
✅ 测试样本 78 | 预测: s39 ---- 真实: s39
✅ 测试样本 79 | 预测: s40 ---- 真实: s40
✅ 测试样本 80 | 预测: s40 ---- 真实: s40
========================================
【PCA + SVM 分类器】模型准确率：97.50 %  (78/80)
========================================


=== 所有对比实验执行完毕，结果已安全保存至 experiment_results.log ===
